Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image,Product Notes
1,C330C105K5R5TA7301,KEMET,CAP CER 1UF 50V X7R RADIAL,2 past due; estimated in-stock on 01-Aug-2025,0,Normally Stocking,,2,2,Cut Tape (CT),399-9886-1-ND,1.07000,$2.14,1,"C1,C4",399-9886-1-ND,12,https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8532.24.0060,Mexico,,399-9886-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg,
2,UUQ0J470MCL1GB,Nichicon,CAP ALUM 47UF 20% 6.3V SMD,,"4,716",In Stock,,1,1,Cut Tape (CT),493-17489-1-ND,0.53000,$0.53,1,C2,493-17489-1-ND,25,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uuq.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Japan,,493-17489-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/561/UUQ1E100MCL1GB.JPG,
3,1N4148,onsemi,DIODE STANDARD 100V 200MA DO35,,"179,368",In Stock,,1,1,Bulk,1N4148FS-ND,0.10000,$0.10,1,D1,1N4148FS-ND,22,https://www.onsemi.com/download/data-sheet/pdf/1n914-d.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8541.10.0070,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=1N4148,1N4148FS-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/649/1N5229BFS.jpg,
4,1N5408,Diotec Semiconductor,DIODE STANDARD 1000V 3A DO201,,"12,757",In Stock,,1,1,Cut Tape (CT),4878-1N5408CT-ND,0.33000,$0.33,1,D2,4878-1N5408CT-ND,7,https://diotec.com/request/datasheet/1n5400.pdf,,	-,,Active,Not applicable,Not Applicable,EAR99,8541.10.0080,China,https://diotec.com/request/imds/p3_e.pdf,4878-1N5408CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/224/444/4878%7EDO201%7E%7E2_web%28640x640%29.jpg,
5,696108003002,Würth Elektronik,FUSEHOLDER BLOCKS - PCB - CLIP C,1 past due; estimated in-stock on 04-Aug-2025,0,Normally Stocking,,1,1,Box,732-11376-ND,0.61000,$0.61,1,F1,732-11376-ND,19,https://www.we-online.com/katalog/datasheet/696108003002.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8536.69.8000,Romania,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/Certificate_of_Compliance_ROHS.pdf,732-11376-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2103/696108003002.JPG,
6,696122003001,Würth Elektronik,ACCESSORIES - PCB - CLIP COVER -,,"16,278",In Stock,,1,1,Box,732-11379-ND,0.23000,$0.23,1,F1,732-11379-ND,15,https://www.we-online.com/katalog/datasheet/696122003001.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8538.90.6000,Romania,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/Certificate_of_Compliance_ROHS.pdf,732-11379-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2175/696122003001.JPG,
7,1935161,Phoenix Contact,TERM BLK 2POS SIDE ENTRY 5MM PCB,,"83,502",In Stock,,7,7,Bulk,277-1667-ND,0.78000,$5.46,1,ST_20A,277-1667-ND,9,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/909/1935161.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.90.4000,China,https://www.phoenixcontact.com/en-us/products/product-compliance,277-1667-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/819/1935161.jpg,
8,IM03TS,TE Connectivity Potter & Brumfield Relays,RELAY TELECOM DPDT 2A 5V,,"11,388",In Stock,,1,1,Tube,PB1094-ND,4.55000,$4.55,1,K1,PB1094-ND,27,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773734-7_IM_Relay_I_Type&DocType=DS&DocLang=English,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.41.0020,Portugal,,PB1094-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/666/IM-PC-SERIES.jpg,
9,CF14JT100R,Stackpole Electronics Inc,RES 100 OHM 5% 1/4W AXIAL,,"197,065",In Stock,,1,1,Cut Tape (CT),CF14JT100RCT-ND,0.10000,$0.10,1,R2,CF14JT100RCT-ND,22,https://www.seielect.com/catalog/sei-cf_cfm.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.10.0065,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,CF14JT100RCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2367/CF%20100.jpg,
10,MFR-25FRF52-10K,YAGEO,RES 10K OHM 1% 1/4W AXIAL,,"22,514",In Stock,,2,2,Cut Tape (CT),13-MFR-25FRF52-10KCT-ND,0.10000,$0.20,1,"R3,R6",13-MFR-25FRF52-10KCT-ND,16,https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8533.21.0090,China,,13-MFR-25FRF52-10KCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1206/MFR-25FRF52-10K.jpg,
